"identifier","source_phrase","translation","context","labels","max_length"
"Administrate the Server","manage_the_server","manage_the_server","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Manage the server"".","command_name","32"
"Ask Chat GPT something","ask_chatgpt","ask_chatgpt","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Chat GPT ask something"".","command_name","32"
"Ask a custom situation","request_situation","request_situation","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Request a user-defined situation"".","command_name","32"
"Awst Tanjuwun something uwu","awst_tanjuwun","awst_tanjuwun","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Awst Tanjuwun somethim uwu"".","command_name","32"
"Blacklist Commands","blacklist_commands","blacklist_commands","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Blacklist commands"".","command_name","32"
"Fun Commands","fun_commands","fun_commands","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Fun commands"".","command_name","32"
"Get help with the bot","tanjun_support","tanjun_support","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Get help with the bot"".","command_name","32"
"Giveaway Commands","giveaway_commands","giveaway_commands","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Giveaway commands"".","command_name","32"
"Level Commands","level_commands","level_commands","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Level commands"".","command_name","32"
"Manage Channels","manage_channel","manage_channel","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Manage channel"".","command_name","32"
"Manage Join-to-Create Channels","manage_join_to_create_channels","manage_join_to_create_channels","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Join To Create Manage channels"".","command_name","32"
"Manage Reports","manage_reports","manage_reports","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Manage reports"".","command_name","32"
"Manage Trigger Messages","manage_trigger_messages","manage_trigger_messages","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Manage trigger messages"".","command_name","32"
"Manage Warns","manage_warnings","manage_warnings","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Manage warnings"".","command_name","32"
"Math is fun!","math_is_fun","math_is_fun","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Math is fun!"".","command_name","32"
"Minigame Commands","minigame_commands","minigame_commands","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Minigame commands"".","command_name","32"
"The frequency penalty setting","frequency_penalty_setting","frequency_penalty_setting","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""The frequency penalty setting"".","command_name","32"
"The personality description","personality_description","personality_description","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""The personality description"".","command_name","32"
"The presence penalty setting","presence_penalty_setting","presence_penalty_setting","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""The presence penalty setting"".","command_name","32"
"The temperature setting","temperature_setting","temperature_setting","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""The temperature setting"".","command_name","32"
"The top.p setting","p_setting","p_setting","OpenAI / chat parameter label (The top.p setting). Shown as a command option name or description.","","32"
"Utility Commands","utility_commands","utility_commands","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""Various commands"".","command_name","32"
"additive","additive","additive","Discord slash command category or command name shown in the command browser (identifier is the legacy English label). English source: ""additive"".","command_name","32"
"admin.addrole.description","Adds a role to a user","Adds a role to a user","Short description of `/addrole` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.addrole.name","add_role","add_role","Slash command name for `/addrole` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.addrole.params.role.description","The role to be added","The role to be added","Help text describing the `role` option on `/addrole` (shown when the user focuses that option).","admin,command_option_description","100"
"admin.addrole.params.role.name","role","role","Display name of the `role` option on `/addrole` (shown in Discord's slash command option list). Used in `extensions/admin.py`.","admin,command_option_name","32"
"admin.addrole.params.user.description","The user to whom the role is to be added","The user to whom the role is to be added","Help text describing the `user` option on `/addrole` (shown when the user focuses that option).","admin,command_option_description","100"
"admin.addrole.params.user.name","user","user","Display name of the `user` option on `/addrole` (shown in Discord's slash command option list). Used in `extensions/admin.py`.","admin,command_option_name","32"
"admin.ban.description","Bans a member from the server","Bans a member from the server","Short description of `/ban` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.ban.name","ban","ban","Slash command name for `/ban` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
